coverlip code,treatment,values
P,ca-rab21,8.203
P,ca-rab21,32.455
P,ca-rab21,26.581
P,ca-rab21,87.529
P,ca-rab21,63.274
P,ca-rab21,142.386
P,ca-rab21,65.691
P,ca-rab21,26.031
P,ca-rab21,105.539
P,ca-rab21,21.222
P,ca-rab21,61.485
P,ca-rab21,76.805
P,ca-rab21,16.778
P,ca-rab21,82.018
P,ca-rab21,86.106
P,ca-rab21,44.576
P,ca-rab21,54.935
P,ca-rab21,46.849
P,ca-rab21,49.641
P,ca-rab21,41.479
P,ca-rab21,73.286
P,ca-rab21,121.152
P,ca-rab21,83.07
P,ca-rab21,70.521
P,ca-rab21,46.336
P,ca-rab21,28.198
P,ca-rab21,18.318
P,ca-rab21,6.251
P,ca-rab21,129.734
P,ca-rab21,91.738
P,ca-rab21,22.834
P,ca-rab21,56.117
P,ca-rab21,13.016
P,ca-rab21,57.246
P,ca-rab21,23.49
P,ca-rab21,71.29
P,ca-rab21,149.92
P,ca-rab21,25.491
P,ca-rab21,118.734
K,LVPG,74.744
K,LVPG,94.345
K,LVPG,70.695
K,LVPG,108.96
K,LVPG,84.696
K,LVPG,58.964
K,LVPG,102.614
K,LVPG,25.755
K,LVPG,57.669
K,LVPG,6.343
K,LVPG,51.036
K,LVPG,16.901
K,LVPG,6.5
K,LVPG,16.8
K,LVPG,63.127
K,LVPG,62.912
K,LVPG,76.582
K,LVPG,91.411
K,LVPG,74.099
K,LVPG,66.833
K,LVPG,14.196
K,LVPG,18.926
K,LVPG,91.134
K,LVPG,85.464
K,LVPG,27.546
K,LVPG,94.292
K,LVPG,56.158
K,LVPG,70.695
K,LVPG,34.902
K,LVPG,30.254
K,LVPG,51.788
K,LVPG,120.929
K,LVPG,96.98
K,LVPG,52.781
K,LVPG,127.227
K,LVPG,9.447
K,LVPG,8.798
K,LVPG,15.988
K,LVPG,180.222
K,LVPG,6.769
K,LVPG,15.892
K,LVPG,91.118
K,LVPG,204.496
K,LVPG,105.131
K,LVPG,53.854
K,LVPG,43.622
K,LVPG,46.799
K,LVPG,123.58
K,LVPG,41.431
K,LVPG,11.638
K,LVPG,83.901
K,LVPG,85.475
K,LVPG,123.411
K,LVPG,30.948
K,LVPG,39.818
K,LVPG,35.902
K,LVPG,54.222
K,LVPG,25.404
K,LVPG,77.49
K,LVPG,121.163
K,LVPG,53.021
K,LVPG,28.646
K,LVPG,76.288
K,LVPG,56.426
K,LVPG,57.487
K,LVPG,3.876
K,LVPG,12.888
K,LVPG,23.889
K,LVPG,33.702
K,LVPG,81.288
K,LVPG,65.501
K,LVPG,13.031
K,LVPG,117.571
K,LVPG,20.44
K,LVPG,44.998
K,LVPG,90.429
K,LVPG,57.672
K,LVPG,81.574
K,LVPG,102.584
K,LVPG,36.096
K,LVPG,64.821
K,LVPG,92.185
K,LVPG,20.584
K,LVPG,24.326
K,LVPG,32.77
K,LVPG,18.451
K,LVPG,10.186
K,LVPG,34.584
K,LVPG,25.131
K,LVPG,11.966
K,LVPG,21.658
K,LVPG,20.76
K,LVPG,43.678
K,LVPG,30.209
K,LVPG,79.781
K,LVPG,81.155
K,LVPG,87.378
K,LVPG,50.722
K,LVPG,21.754
K,LVPG,37.176
K,LVPG,9.891
K,LVPG,68.343
K,LVPG,129.901
K,LVPG,125.543
K,LVPG,22.203
K,LVPG,29.696
K,LVPG,70.116
K,LVPG,97.29
K,LVPG,38.415
K,LVPG,23.165
K,LVPG,13.526
K,LVPG,139.427
K,LVPG,16.617
K,LVPG,22.309
K,LVPG,22.01
K,LVPG,104.797
K,LVPG,63.211
K,LVPG,8.426
K,LVPG,95.016
D,LVPG,85.325
D,LVPG,40.724
D,LVPG,20.924
D,LVPG,85.733
D,LVPG,85.325
D,LVPG,40.724
D,LVPG,20.924
D,LVPG,85.733
D,LVPG,77.452
D,LVPG,32.488
D,LVPG,46.422
D,LVPG,7.157
D,LVPG,16.604
D,LVPG,72.263
D,LVPG,125.67
D,LVPG,58.795
D,LVPG,48.937
D,LVPG,62.088
D,LVPG,12.439
D,LVPG,8.305
D,LVPG,8.387
D,LVPG,5.525
D,LVPG,20.27
D,LVPG,61.656
D,LVPG,82.072
D,LVPG,39.205
D,LVPG,36.114
D,LVPG,56.21
D,LVPG,77.098
D,LVPG,39.18
D,LVPG,160.19
D,LVPG,73.217
D,LVPG,53.008
D,LVPG,54.332
D,LVPG,21.971
D,LVPG,6.476
D,LVPG,41.067
D,LVPG,98.193
D,LVPG,76.451
D,LVPG,87.553
D,LVPG,42.919
D,LVPG,63.102
D,LVPG,22.981
D,LVPG,28.148
D,LVPG,23.096
D,LVPG,33.507
D,LVPG,69.85
D,LVPG,109.542
D,LVPG,68.216
D,LVPG,60.064
D,LVPG,98.744
D,LVPG,74.828
D,LVPG,41.317
D,LVPG,52.091
D,LVPG,76.787
D,LVPG,38.985
D,LVPG,21.743
D,LVPG,21.128
D,LVPG,35.156
D,LVPG,8.151
D,LVPG,6.175
D,LVPG,11.093
D,LVPG,44.494
D,LVPG,9.868
D,LVPG,15.829
D,LVPG,60.623
D,LVPG,137.395
D,LVPG,43.364
D,LVPG,8.924
D,LVPG,9.772
D,LVPG,34.584
D,LVPG,137.95
D,LVPG,38.647
D,LVPG,85.89
D,LVPG,63.416
D,LVPG,81.384
D,LVPG,42.505
D,LVPG,48.926
D,LVPG,43.259
D,LVPG,8.586
D,LVPG,59.963
D,LVPG,62.923
D,LVPG,50.39
D,LVPG,66.832
D,LVPG,120.194
D,LVPG,39.03
D,LVPG,33.3
D,LVPG,19.341
D,LVPG,24.104
D,LVPG,45.378
D,LVPG,32.615
D,LVPG,14.244
D,LVPG,31.954
D,LVPG,53.905
D,LVPG,24.834
D,LVPG,46.024
D,LVPG,91.125
D,LVPG,71.771
D,LVPG,18.56
D,LVPG,25.921
D,LVPG,65.963
D,LVPG,29.974
O,ca-rab21,88.725
O,ca-rab21,93.276
O,ca-rab21,73.586
O,ca-rab21,72.883
O,ca-rab21,228.891
O,ca-rab21,47.996
O,ca-rab21,101.273
O,ca-rab21,34.673
O,ca-rab21,18.385
O,ca-rab21,21.125
O,ca-rab21,59.886
O,ca-rab21,36.676
O,ca-rab21,11.221
O,ca-rab21,33.482
O,ca-rab21,36.596
O,ca-rab21,41.313
O,ca-rab21,124.767
O,ca-rab21,20.972
O,ca-rab21,119.793
O,ca-rab21,151.432
O,ca-rab21,23.41
O,ca-rab21,18.83
O,ca-rab21,41.05
O,ca-rab21,125.414
O,ca-rab21,11.772
O,ca-rab21,68.25
O,ca-rab21,77.61
O,ca-rab21,45.307
O,ca-rab21,84.002
O,ca-rab21,33.342
O,ca-rab21,88.178
O,ca-rab21,14.159
O,ca-rab21,39.008
O,ca-rab21,11.117
O,ca-rab21,80.646
O,ca-rab21,83.452
O,ca-rab21,66.146
O,ca-rab21,47.78
O,ca-rab21,38.474
O,ca-rab21,16.308
O,ca-rab21,9.475
O,ca-rab21,21.395
O,ca-rab21,101.27
O,ca-rab21,10.823
O,ca-rab21,36.099
O,ca-rab21,29.34
O,ca-rab21,26.333
O,ca-rab21,14.982
O,ca-rab21,72.132
O,ca-rab21,20.954
O,ca-rab21,39.396
O,ca-rab21,40.948
O,ca-rab21,56.763
O,ca-rab21,25.207
O,ca-rab21,78.771
O,ca-rab21,131.188
O,ca-rab21,38.884
O,ca-rab21,20.021
O,ca-rab21,24.145
O,ca-rab21,71.707
O,ca-rab21,87.117
O,ca-rab21,27.681
O,ca-rab21,16.512
O,ca-rab21,32.273
O,ca-rab21,32.995
O,ca-rab21,25.819
O,ca-rab21,18.82
O,ca-rab21,39.498
O,ca-rab21,7.155
O,ca-rab21,20.972
O,ca-rab21,5.75
O,ca-rab21,30.824
O,ca-rab21,12.671
O,ca-rab21,13.17
O,ca-rab21,62.741
O,ca-rab21,20.38
O,ca-rab21,103.738
O,ca-rab21,10.92
O,ca-rab21,48.11
O,ca-rab21,70.615
O,ca-rab21,6.7
O,ca-rab21,31.763
O,ca-rab21,26.266
O,ca-rab21,100.464
O,ca-rab21,29.216
O,ca-rab21,100.01
O,ca-rab21,67.957
O,ca-rab21,125.068
O,ca-rab21,13.884
O,ca-rab21,15.988
O,ca-rab21,143.551
O,ca-rab21,10.769
O,ca-rab21,26.847
O,ca-rab21,24.999
O,ca-rab21,30.502
O,ca-rab21,11.375
O,ca-rab21,18.072
O,ca-rab21,68.485
O,ca-rab21,8.305
O,ca-rab21,18.391
O,ca-rab21,33.216
O,ca-rab21,41.64
C,MTMR2,25.483
C,MTMR2,94.199
C,MTMR2,157.117
C,MTMR2,16.256
C,MTMR2,103.138
C,MTMR2,21.91
C,MTMR2,72.518
C,MTMR2,137.639
C,MTMR2,43.678
C,MTMR2,80.593
C,MTMR2,80.593
